timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729759615222,1502,HTTP Request,200,OK,Thread Group 1-277,text,true,,1592,549,300,300,http://gryffindor.hogwarts.A40.com/php/login.php,38,0,29
1729759615222,38,HTTP Request-0,302,Found,Thread Group 1-277,text,true,,375,264,300,300,http://gryffindor.hogwarts.A40.com/php/login.php,38,0,29
1729759615261,1432,HTTP Request-1,302,Found,Thread Group 1-277,text,true,,376,142,300,300,http://gryffindor.hogwarts.A40.com/php/home.php,1432,0,0
1729759616694,30,HTTP Request-2,200,OK,Thread Group 1-277,text,true,,841,143,300,300,http://gryffindor.hogwarts.A40.com/php/login.php,20,0,0
1729759611150,5580,HTTP Request,200,OK,Thread Group 1-30,text,true,,1592,549,300,300,http://gryffindor.hogwarts.A40.com/php/login.php,3039,0,1081
1729759611150,3039,HTTP Request-0,302,Found,Thread Group 1-30,text,true,,375,264,300,300,http://gryffindor.hogwarts.A40.com/php/login.php,3039,0,1081
1729759614190,2496,HTTP Request-1,302,Found,Thread Group 1-30,text,true,,376,142,300,300,http://gryffindor.hogwarts.A40.com/php/home.php,2496,0,0
1729759616686,44,HTTP Request-2,200,OK,Thread Group 1-30,text,true,,841,143,300,300,http://gryffindor.hogwarts.A40.com/php/login.php,30,0,0
1729759611130,5597,HTTP Request,200,OK,Thread Group 1-83,text,true,,1592,549,300,300,http://gryffindor.hogwarts.A40.com/php/login.php,2985,0,1022
1729759611130,2985,HTTP Request-0,302,Found,Thread Group 1-83,text,true,,375,264,300,300,http://gryffindor.hogwarts.A40.com/php/login.php,2985,0,1022
1729759614116,2537,HTTP Request-1,302,Found,Thread Group 1-83,text,true,,376,142,300,300,http://gryffindor.hogwarts.A40.com/php/home.php,2537,0,0
1729759616654,73,HTTP Request-2,200,OK,Thread Group 1-83,text,true,,841,143,300,300,http://gryffindor.hogwarts.A40.com/php/login.php,55,0,0
1729759611132,5599,HTTP Request,200,OK,Thread Group 1-175,text,true,,1592,549,300,300,http://gryffindor.hogwarts.A40.com/php/login.php,3075,0,1012
1729759611132,3075,HTTP Request-0,302,Found,Thread Group 1-175,text,true,,375,264,300,300,http://gryffindor.hogwarts.A40.com/php/login.php,3075,0,1012
