timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729839203443,4612,HTTP Request,200,OK,Thread Group 1-140,text,true,,1592,549,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,2199,0,907
1729839203443,2199,HTTP Request-0,302,Found,Thread Group 1-140,text,true,,375,264,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,2199,0,907
1729839205643,553,HTTP Request-1,302,Found,Thread Group 1-140,text,true,,376,142,206,206,http://gryffindor.hogwarts.A40.com/php/home.php,553,0,0
1729839206196,1859,HTTP Request-2,200,OK,Thread Group 1-140,text,true,,841,143,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,606,0,0
1729839203444,5116,HTTP Request,200,OK,Thread Group 1-47,text,true,,1592,549,208,208,http://gryffindor.hogwarts.A40.com/php/login.php,2117,0,889
1729839203444,2117,HTTP Request-0,302,Found,Thread Group 1-47,text,true,,375,264,208,208,http://gryffindor.hogwarts.A40.com/php/login.php,2117,0,889
1729839205561,1366,HTTP Request-1,302,Found,Thread Group 1-47,text,true,,376,142,208,208,http://gryffindor.hogwarts.A40.com/php/home.php,1366,0,0
1729839206927,1633,HTTP Request-2,200,OK,Thread Group 1-47,text,true,,841,143,208,208,http://gryffindor.hogwarts.A40.com/php/login.php,1633,0,0
1729839204041,4123,HTTP Request,200,OK,Thread Group 1-187,text,true,,1592,549,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,1799,0,390
1729839204041,1799,HTTP Request-0,302,Found,Thread Group 1-187,text,true,,375,264,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,1799,0,390
1729839205840,2073,HTTP Request-1,302,Found,Thread Group 1-187,text,true,,376,142,206,206,http://gryffindor.hogwarts.A40.com/php/home.php,2073,0,0
1729839208050,114,HTTP Request-2,200,OK,Thread Group 1-187,text,true,,841,143,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,114,0,0
1729839208563,17,HTTP Request,200,OK,Thread Group 1-140,text,true,,1217,285,208,208,http://gryffindor.hogwarts.A40.com/php/login.php,4,0,0
1729839208563,4,HTTP Request-0,302,Found,Thread Group 1-140,text,true,,376,142,208,208,http://gryffindor.hogwarts.A40.com/php/home.php,4,0,0
1729839208567,13,HTTP Request-1,200,OK,Thread Group 1-140,text,true,,841,143,208,208,http://gryffindor.hogwarts.A40.com/php/login.php,13,0,0
1729839203442,4628,HTTP Request,200,OK,Thread Group 1-64,text,true,,1592,549,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,1838,0,928
1729839203442,1838,HTTP Request-0,302,Found,Thread Group 1-64,text,true,,375,264,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,1838,0,928
1729839205281,1441,HTTP Request-1,302,Found,Thread Group 1-64,text,true,,376,142,206,206,http://gryffindor.hogwarts.A40.com/php/home.php,1441,0,0
1729839206723,1347,HTTP Request-2,200,OK,Thread Group 1-64,text,true,,841,143,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,1328,0,0
1729839203691,4383,HTTP Request,200,OK,Thread Group 1-170,text,true,,1592,549,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,2054,0,702
1729839203691,2054,HTTP Request-0,302,Found,Thread Group 1-170,text,true,,375,264,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,2054,0,702
1729839205745,1747,HTTP Request-1,302,Found,Thread Group 1-170,text,true,,376,142,206,206,http://gryffindor.hogwarts.A40.com/php/home.php,1747,0,0
1729839207492,582,HTTP Request-2,200,OK,Thread Group 1-170,text,true,,841,143,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,582,0,0
1729839203445,5096,HTTP Request,200,OK,Thread Group 1-95,text,true,,1592,549,208,208,http://gryffindor.hogwarts.A40.com/php/login.php,2326,0,939
1729839203445,2326,HTTP Request-0,302,Found,Thread Group 1-95,text,true,,375,264,208,208,http://gryffindor.hogwarts.A40.com/php/login.php,2326,0,939
1729839205771,422,HTTP Request-1,302,Found,Thread Group 1-95,text,true,,376,142,208,208,http://gryffindor.hogwarts.A40.com/php/home.php,422,0,0
1729839206193,2348,HTTP Request-2,200,OK,Thread Group 1-95,text,true,,841,143,208,208,http://gryffindor.hogwarts.A40.com/php/login.php,2348,0,0
1729839204877,3640,HTTP Request,200,OK,Thread Group 1-201,text,true,,1592,549,207,207,http://gryffindor.hogwarts.A40.com/php/login.php,3152,0,2929
1729839204877,3152,HTTP Request-0,302,Found,Thread Group 1-201,text,true,,375,264,207,207,http://gryffindor.hogwarts.A40.com/php/login.php,3152,0,2929
1729839208029,408,HTTP Request-1,302,Found,Thread Group 1-201,text,true,,376,142,207,207,http://gryffindor.hogwarts.A40.com/php/home.php,408,0,0
1729839208437,80,HTTP Request-2,200,OK,Thread Group 1-201,text,true,,841,143,207,207,http://gryffindor.hogwarts.A40.com/php/login.php,80,0,0
1729839206939,1575,HTTP Request,200,OK,Thread Group 1-204,text,true,,1592,549,207,207,http://gryffindor.hogwarts.A40.com/php/login.php,1148,0,1112
1729839206939,1148,HTTP Request-0,302,Found,Thread Group 1-204,text,true,,375,264,207,207,http://gryffindor.hogwarts.A40.com/php/login.php,1148,0,1112
1729839208088,375,HTTP Request-1,302,Found,Thread Group 1-204,text,true,,376,142,207,207,http://gryffindor.hogwarts.A40.com/php/home.php,375,0,0
1729839208463,51,HTTP Request-2,200,OK,Thread Group 1-204,text,true,,841,143,207,207,http://gryffindor.hogwarts.A40.com/php/login.php,51,0,0
1729839204716,3777,HTTP Request,200,OK,Thread Group 1-197,text,true,,1592,549,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,3085,0,204
1729839204716,3085,HTTP Request-0,302,Found,Thread Group 1-197,text,true,,375,264,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,3085,0,204
1729839207801,646,HTTP Request-1,302,Found,Thread Group 1-197,text,true,,376,142,206,206,http://gryffindor.hogwarts.A40.com/php/home.php,646,0,0
1729839208447,46,HTTP Request-2,200,OK,Thread Group 1-197,text,true,,841,143,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,46,0,0
1729839203447,5045,HTTP Request,200,OK,Thread Group 1-125,text,true,,1592,549,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,4470,0,2242
1729839204921,3557,HTTP Request,200,OK,Thread Group 1-200,text,true,,1592,549,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,3090,0,1975
1729839204921,3090,HTTP Request-0,302,Found,Thread Group 1-200,text,true,,375,264,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,3090,0,1975
1729839208011,385,HTTP Request-1,302,Found,Thread Group 1-200,text,true,,376,142,206,206,http://gryffindor.hogwarts.A40.com/php/home.php,385,0,0
1729839208397,81,HTTP Request-2,200,OK,Thread Group 1-200,text,true,,841,143,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,81,0,0
1729839203663,4662,HTTP Request,200,OK,Thread Group 1-165,text,true,,1592,549,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,2141,0,750
1729839203663,2141,HTTP Request-0,302,Found,Thread Group 1-165,text,true,,375,264,206,206,http://gryffindor.hogwarts.A40.com/php/login.php,2141,0,750
