timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729759325658,6605,HTTP Request,200,OK,Thread Group 1-179,text,true,,1592,549,264,264,http://gryffindor.hogwarts.A40.com/php/login.php,3187,0,1467
1729759325658,3187,HTTP Request-0,302,Found,Thread Group 1-179,text,true,,375,264,264,264,http://gryffindor.hogwarts.A40.com/php/login.php,3187,0,1467
1729759329611,769,HTTP Request-1,302,Found,Thread Group 1-179,text,true,,376,142,264,264,http://gryffindor.hogwarts.A40.com/php/home.php,769,0,0
1729759330380,1883,HTTP Request-2,200,OK,Thread Group 1-179,text,true,,841,143,264,264,http://gryffindor.hogwarts.A40.com/php/login.php,1217,0,0
1729759332460,571,HTTP Request,200,OK,Thread Group 1-267,text,true,,1592,549,270,270,http://gryffindor.hogwarts.A40.com/php/login.php,131,0,85
1729759332460,131,HTTP Request-0,302,Found,Thread Group 1-267,text,true,,375,264,270,270,http://gryffindor.hogwarts.A40.com/php/login.php,131,0,85
1729759332593,425,HTTP Request-1,302,Found,Thread Group 1-267,text,true,,376,142,270,270,http://gryffindor.hogwarts.A40.com/php/home.php,425,0,0
1729759333019,12,HTTP Request-2,200,OK,Thread Group 1-267,text,true,,841,143,270,270,http://gryffindor.hogwarts.A40.com/php/login.php,12,0,0
1729759325656,6626,HTTP Request,200,OK,Thread Group 1-115,text,true,,1592,549,264,264,http://gryffindor.hogwarts.A40.com/php/login.php,2865,0,1610
1729759325656,2865,HTTP Request-0,302,Found,Thread Group 1-115,text,true,,375,264,264,264,http://gryffindor.hogwarts.A40.com/php/login.php,2865,0,1610
1729759329853,1232,HTTP Request-1,302,Found,Thread Group 1-115,text,true,,376,142,264,264,http://gryffindor.hogwarts.A40.com/php/home.php,1232,0,0
1729759331850,432,HTTP Request-2,200,OK,Thread Group 1-115,text,true,,841,143,264,264,http://gryffindor.hogwarts.A40.com/php/login.php,339,0,0
1729759326254,6030,HTTP Request,200,OK,Thread Group 1-215,text,true,,1592,549,264,264,http://gryffindor.hogwarts.A40.com/php/login.php,2720,0,897
1729759326254,2720,HTTP Request-0,302,Found,Thread Group 1-215,text,true,,375,264,264,264,http://gryffindor.hogwarts.A40.com/php/login.php,2720,0,897
1729759329929,1423,HTTP Request-1,302,Found,Thread Group 1-215,text,true,,376,142,264,264,http://gryffindor.hogwarts.A40.com/php/home.php,1423,0,0
1729759331352,932,HTTP Request-2,200,OK,Thread Group 1-215,text,true,,841,143,264,264,http://gryffindor.hogwarts.A40.com/php/login.php,836,0,0
1729759327759,4526,HTTP Request,200,OK,Thread Group 1-254,text,true,,1592,549,264,264,http://gryffindor.hogwarts.A40.com/php/login.php,1221,0,1153
1729759327759,1221,HTTP Request-0,302,Found,Thread Group 1-254,text,true,,375,264,264,264,http://gryffindor.hogwarts.A40.com/php/login.php,1221,0,1153
1729759329335,2329,HTTP Request-1,302,Found,Thread Group 1-254,text,true,,376,142,264,264,http://gryffindor.hogwarts.A40.com/php/home.php,2038,0,0
1729759331665,620,HTTP Request-2,200,OK,Thread Group 1-254,text,true,,841,143,264,264,http://gryffindor.hogwarts.A40.com/php/login.php,523,0,0
1729759325731,6555,HTTP Request,200,OK,Thread Group 1-157,text,true,,1592,549,264,264,http://gryffindor.hogwarts.A40.com/php/login.php,3198,0,1373
1729759325731,3198,HTTP Request-0,302,Found,Thread Group 1-157,text,true,,375,264,264,264,http://gryffindor.hogwarts.A40.com/php/login.php,3198,0,1373
