timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729838230359,3594,HTTP Request,200,OK,Thread Group 1-157,text,true,,1592,549,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1542,0,1015
1729838230359,2010,HTTP Request-0,302,Found,Thread Group 1-157,text,true,,375,264,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1542,0,1015
1729838232900,293,HTTP Request-1,302,Found,Thread Group 1-157,text,true,,376,142,224,224,http://gryffindor.hogwarts.A40.com/php/home.php,293,0,0
1729838233193,760,HTTP Request-2,200,OK,Thread Group 1-157,text,true,,841,143,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,760,0,0
1729838235200,33,HTTP Request,200,OK,Thread Group 1-157,text,true,,1217,285,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,24,0,0
1729838235200,24,HTTP Request-0,302,Found,Thread Group 1-157,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,24,0,0
1729838235224,9,HTTP Request-1,200,OK,Thread Group 1-157,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,9,0,0
1729838235254,62,HTTP Request,200,OK,Thread Group 1-157,text,true,,1217,287,234,234,http://gryffindor.hogwarts.A40.com/php/login.php,38,0,0
1729838235254,38,HTTP Request-0,302,Found,Thread Group 1-157,text,true,,376,144,234,234,http://gryffindor.hogwarts.A40.com/php/logout.php,38,0,0
1729838235293,23,HTTP Request-1,200,OK,Thread Group 1-157,text,true,,841,143,234,234,http://gryffindor.hogwarts.A40.com/php/login.php,23,0,0
1729838235271,54,HTTP Request,200,OK,Thread Group 1-230,text,true,,1592,549,234,234,http://gryffindor.hogwarts.A40.com/php/login.php,9,0,2
1729838235271,9,HTTP Request-0,302,Found,Thread Group 1-230,text,true,,375,264,234,234,http://gryffindor.hogwarts.A40.com/php/login.php,9,0,2
1729838235280,25,HTTP Request-1,302,Found,Thread Group 1-230,text,true,,376,142,234,234,http://gryffindor.hogwarts.A40.com/php/home.php,25,0,0
1729838235305,20,HTTP Request-2,200,OK,Thread Group 1-230,text,true,,841,143,234,234,http://gryffindor.hogwarts.A40.com/php/login.php,20,0,0
1729838235215,109,HTTP Request,200,OK,Thread Group 1-225,text,true,,1592,549,234,234,http://gryffindor.hogwarts.A40.com/php/login.php,34,0,24
1729838235215,34,HTTP Request-0,302,Found,Thread Group 1-225,text,true,,375,264,234,234,http://gryffindor.hogwarts.A40.com/php/login.php,34,0,24
1729838235264,34,HTTP Request-1,302,Found,Thread Group 1-225,text,true,,376,142,234,234,http://gryffindor.hogwarts.A40.com/php/home.php,34,0,0
1729838235299,25,HTTP Request-2,200,OK,Thread Group 1-225,text,true,,841,143,234,234,http://gryffindor.hogwarts.A40.com/php/login.php,25,0,0
1729838235230,85,HTTP Request,200,OK,Thread Group 1-229,text,true,,1592,549,234,234,http://gryffindor.hogwarts.A40.com/php/login.php,16,0,4
1729838235230,16,HTTP Request-0,302,Found,Thread Group 1-229,text,true,,375,264,234,234,http://gryffindor.hogwarts.A40.com/php/login.php,16,0,4
1729838235247,39,HTTP Request-1,302,Found,Thread Group 1-229,text,true,,376,142,234,234,http://gryffindor.hogwarts.A40.com/php/home.php,39,0,0
1729838235287,28,HTTP Request-2,200,OK,Thread Group 1-229,text,true,,841,143,234,234,http://gryffindor.hogwarts.A40.com/php/login.php,28,0,0
1729838230730,4061,HTTP Request,200,OK,Thread Group 1-191,text,true,,1592,549,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1142,0,621
1729838230730,1729,HTTP Request-0,302,Found,Thread Group 1-191,text,true,,375,264,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1142,0,621
1729838232460,1317,HTTP Request-1,302,Found,Thread Group 1-191,text,true,,376,142,224,224,http://gryffindor.hogwarts.A40.com/php/home.php,1317,0,0
1729838233777,1014,HTTP Request-2,200,OK,Thread Group 1-191,text,true,,841,143,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1014,0,0
1729838230339,4453,HTTP Request,200,OK,Thread Group 1-127,text,true,,1592,549,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1594,0,1052
1729838230339,1868,HTTP Request-0,302,Found,Thread Group 1-127,text,true,,375,264,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1594,0,1052
1729838232208,1580,HTTP Request-1,302,Found,Thread Group 1-127,text,true,,376,142,224,224,http://gryffindor.hogwarts.A40.com/php/home.php,1580,0,0
1729838234318,474,HTTP Request-2,200,OK,Thread Group 1-127,text,true,,841,143,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,474,0,0
1729838230334,4458,HTTP Request,200,OK,Thread Group 1-102,text,true,,1592,549,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1716,0,892
1729838230334,1808,HTTP Request-0,302,Found,Thread Group 1-102,text,true,,375,264,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1716,0,892
1729838232868,804,HTTP Request-1,302,Found,Thread Group 1-102,text,true,,376,142,224,224,http://gryffindor.hogwarts.A40.com/php/home.php,804,0,0
1729838233673,1119,HTTP Request-2,200,OK,Thread Group 1-102,text,true,,841,143,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1119,0,0
1729838230334,4459,HTTP Request,200,OK,Thread Group 1-60,text,true,,1592,549,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1551,0,1031
1729838230334,2051,HTTP Request-0,302,Found,Thread Group 1-60,text,true,,375,264,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1551,0,1031
1729838232917,548,HTTP Request-1,302,Found,Thread Group 1-60,text,true,,376,142,224,224,http://gryffindor.hogwarts.A40.com/php/home.php,548,0,0
1729838234329,464,HTTP Request-2,200,OK,Thread Group 1-60,text,true,,841,143,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,464,0,0
1729838230324,4471,HTTP Request,200,OK,Thread Group 1-124,text,true,,1592,549,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1374,0,901
1729838230324,1973,HTTP Request-0,302,Found,Thread Group 1-124,text,true,,375,264,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1374,0,901
1729838232298,1765,HTTP Request-1,302,Found,Thread Group 1-124,text,true,,376,142,224,224,http://gryffindor.hogwarts.A40.com/php/home.php,1765,0,0
1729838234064,731,HTTP Request-2,200,OK,Thread Group 1-124,text,true,,841,143,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,731,0,0
1729838230334,4354,HTTP Request,200,OK,Thread Group 1-10,text,true,,1592,549,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1527,0,1005
1729838230334,2168,HTTP Request-0,302,Found,Thread Group 1-10,text,true,,375,264,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1527,0,1005
1729838232502,1195,HTTP Request-1,302,Found,Thread Group 1-10,text,true,,376,142,224,224,http://gryffindor.hogwarts.A40.com/php/home.php,1195,0,0
1729838234514,174,HTTP Request-2,200,OK,Thread Group 1-10,text,true,,841,143,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,173,0,0
1729838230332,4355,HTTP Request,200,OK,Thread Group 1-35,text,true,,1592,549,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1413,0,908
1729838230332,2452,HTTP Request-0,302,Found,Thread Group 1-35,text,true,,375,264,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1413,0,908
1729838232784,671,HTTP Request-1,302,Found,Thread Group 1-35,text,true,,376,142,224,224,http://gryffindor.hogwarts.A40.com/php/home.php,671,0,0
1729838233460,1227,HTTP Request-2,200,OK,Thread Group 1-35,text,true,,841,143,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1227,0,0
1729838230325,4363,HTTP Request,200,OK,Thread Group 1-37,text,true,,1592,549,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1444,0,919
1729838230325,2471,HTTP Request-0,302,Found,Thread Group 1-37,text,true,,375,264,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1444,0,919
1729838232796,580,HTTP Request-1,302,Found,Thread Group 1-37,text,true,,376,142,224,224,http://gryffindor.hogwarts.A40.com/php/home.php,580,0,0
1729838233377,1311,HTTP Request-2,200,OK,Thread Group 1-37,text,true,,841,143,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1311,0,0
1729838230336,4364,HTTP Request,200,OK,Thread Group 1-118,text,true,,1592,549,224,224,http://gryffindor.hogwarts.A40.com/php/login.php,1472,0,929
