timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729757417282,6100,HTTP Request,200,OK,Thread Group 1-204,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,1376,0,567
1729757417282,2329,HTTP Request-0,302,Found,Thread Group 1-204,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,1376,0,567
1729757419612,2031,HTTP Request-1,302,Found,Thread Group 1-204,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,2031,0,0
1729757421643,1739,HTTP Request-2,200,OK,Thread Group 1-204,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,1331,0,0
1729757415562,7844,HTTP Request,200,OK,Thread Group 1-165,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2652,0,1294
1729757415562,4296,HTTP Request-0,302,Found,Thread Group 1-165,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2652,0,1294
1729757420181,691,HTTP Request-1,302,Found,Thread Group 1-165,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,691,0,0
1729757421912,1494,HTTP Request-2,200,OK,Thread Group 1-165,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,627,0,0
1729757415931,7663,HTTP Request,200,OK,Thread Group 1-178,text,true,,1592,549,228,228,http://gryffindor.hogwarts.A40.com/php/login.php,2243,0,1055
1729757415931,3994,HTTP Request-0,302,Found,Thread Group 1-178,text,true,,375,264,228,228,http://gryffindor.hogwarts.A40.com/php/login.php,2243,0,1055
1729757419925,509,HTTP Request-1,302,Found,Thread Group 1-178,text,true,,376,142,228,228,http://gryffindor.hogwarts.A40.com/php/home.php,509,0,0
1729757422466,1128,HTTP Request-2,200,OK,Thread Group 1-178,text,true,,841,143,228,228,http://gryffindor.hogwarts.A40.com/php/login.php,1128,0,0
1729757418960,4417,HTTP Request,200,OK,Thread Group 1-214,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,51,0,29
1729757418960,1049,HTTP Request-0,302,Found,Thread Group 1-214,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,51,0,29
1729757420009,549,HTTP Request-1,302,Found,Thread Group 1-214,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,549,0,0
1729757422365,1012,HTTP Request-2,200,OK,Thread Group 1-214,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,716,0,0
1729757416528,6845,HTTP Request,200,OK,Thread Group 1-196,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2154,0,162
1729757416528,3025,HTTP Request-0,302,Found,Thread Group 1-196,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2154,0,162
1729757419554,1783,HTTP Request-1,302,Found,Thread Group 1-196,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,1783,0,0
1729757421337,2036,HTTP Request-2,200,OK,Thread Group 1-196,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,1783,0,0
1729757415578,8137,HTTP Request,200,OK,Thread Group 1-140,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,3390,0,1157
1729757415578,3750,HTTP Request-0,302,Found,Thread Group 1-140,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,3390,0,1157
1729757419328,1794,HTTP Request-1,302,Found,Thread Group 1-140,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,1794,0,0
1729757421122,2593,HTTP Request-2,200,OK,Thread Group 1-140,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,1851,0,0
1729757415580,7794,HTTP Request,200,OK,Thread Group 1-160,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2954,0,1371
1729757415580,4154,HTTP Request-0,302,Found,Thread Group 1-160,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2954,0,1371
1729757420256,527,HTTP Request-1,302,Found,Thread Group 1-160,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,527,0,0
1729757422107,1267,HTTP Request-2,200,OK,Thread Group 1-160,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,999,0,0
1729757415574,8168,HTTP Request,200,OK,Thread Group 1-135,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,3152,0,1236
1729757415574,3880,HTTP Request-0,302,Found,Thread Group 1-135,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,3152,0,1236
1729757419454,1672,HTTP Request-1,302,Found,Thread Group 1-135,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,1672,0,0
1729757423089,653,HTTP Request-2,200,OK,Thread Group 1-135,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,652,0,0
1729757415560,8183,HTTP Request,200,OK,Thread Group 1-145,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2915,0,1354
1729757415560,4198,HTTP Request-0,302,Found,Thread Group 1-145,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2915,0,1354
1729757421554,104,HTTP Request-1,302,Found,Thread Group 1-145,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,104,0,0
1729757423041,702,HTTP Request-2,200,OK,Thread Group 1-145,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,701,0,0
1729757417485,6160,HTTP Request,200,OK,Thread Group 1-207,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,1205,0,405
1729757417485,2006,HTTP Request-0,302,Found,Thread Group 1-207,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,1205,0,405
1729757420094,950,HTTP Request-1,302,Found,Thread Group 1-207,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,950,0,0
1729757421045,2600,HTTP Request-2,200,OK,Thread Group 1-207,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2600,0,0
1729757415561,8183,HTTP Request,200,OK,Thread Group 1-77,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2645,0,1300
1729757415561,4309,HTTP Request-0,302,Found,Thread Group 1-77,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2645,0,1300
1729757420830,366,HTTP Request-1,302,Found,Thread Group 1-77,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,366,0,0
1729757421197,2547,HTTP Request-2,200,OK,Thread Group 1-77,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2546,0,0
1729757416566,6885,HTTP Request,200,OK,Thread Group 1-198,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2062,0,461
1729757416566,3130,HTTP Request-0,302,Found,Thread Group 1-198,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2062,0,461
1729757420099,631,HTTP Request-1,302,Found,Thread Group 1-198,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,631,0,0
1729757422280,1171,HTTP Request-2,200,OK,Thread Group 1-198,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,1171,0,0
1729757415567,7815,HTTP Request,200,OK,Thread Group 1-146,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2739,0,1239
1729757415567,4262,HTTP Request-0,302,Found,Thread Group 1-146,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2739,0,1239
1729757419829,955,HTTP Request-1,302,Found,Thread Group 1-146,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,955,0,0
1729757422102,1280,HTTP Request-2,200,OK,Thread Group 1-146,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,875,0,0
1729757415574,8056,HTTP Request,200,OK,Thread Group 1-130,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2992,0,1382
1729757415574,4153,HTTP Request-0,302,Found,Thread Group 1-130,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,2992,0,1382
1729757420238,219,HTTP Request-1,302,Found,Thread Group 1-130,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,219,0,0
1729757422394,1236,HTTP Request-2,200,OK,Thread Group 1-130,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,418,0,0
1729757415579,7815,HTTP Request,200,OK,Thread Group 1-162,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,3390,0,1161
1729757415579,3756,HTTP Request-0,302,Found,Thread Group 1-162,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,3390,0,1161
1729757419336,1154,HTTP Request-1,302,Found,Thread Group 1-162,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,1154,0,0
1729757422385,1009,HTTP Request-2,200,OK,Thread Group 1-162,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,422,0,0
1729757415571,8142,HTTP Request,200,OK,Thread Group 1-19,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,3408,0,1152
1729757415571,4410,HTTP Request-0,302,Found,Thread Group 1-19,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,3408,0,1152
1729757420282,525,HTTP Request-1,302,Found,Thread Group 1-19,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,525,0,0
1729757422055,1658,HTTP Request-2,200,OK,Thread Group 1-19,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,1657,0,0
1729757417062,6297,HTTP Request,200,OK,Thread Group 1-202,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,1724,0,1555
1729757417062,2381,HTTP Request-0,302,Found,Thread Group 1-202,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,1724,0,1555
1729757419443,1750,HTTP Request-1,302,Found,Thread Group 1-202,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,1133,0,0
1729757421194,2165,HTTP Request-2,200,OK,Thread Group 1-202,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,1991,0,0
1729757415579,7805,HTTP Request,200,OK,Thread Group 1-164,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,3389,0,1161
1729757415579,3742,HTTP Request-0,302,Found,Thread Group 1-164,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,3389,0,1161
1729757419322,1863,HTTP Request-1,302,Found,Thread Group 1-164,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,1863,0,0
1729757421185,2199,HTTP Request-2,200,OK,Thread Group 1-164,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,1765,0,0
1729757415574,8180,HTTP Request,200,OK,Thread Group 1-134,text,true,,1592,549,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,3215,0,1332
1729757415574,3864,HTTP Request-0,302,Found,Thread Group 1-134,text,true,,375,264,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,3215,0,1332
1729757419438,3136,HTTP Request-1,302,Found,Thread Group 1-134,text,true,,376,142,230,230,http://gryffindor.hogwarts.A40.com/php/home.php,3136,0,0
1729757422574,1180,HTTP Request-2,200,OK,Thread Group 1-134,text,true,,841,143,230,230,http://gryffindor.hogwarts.A40.com/php/login.php,1180,0,0
1729757415565,8024,HTTP Request,200,OK,Thread Group 1-27,text,true,,1592,549,227,227,http://gryffindor.hogwarts.A40.com/php/login.php,3128,0,1249
1729757415565,3913,HTTP Request-0,302,Found,Thread Group 1-27,text,true,,375,264,227,227,http://gryffindor.hogwarts.A40.com/php/login.php,3128,0,1249
1729757419480,1768,HTTP Request-1,302,Found,Thread Group 1-27,text,true,,376,142,227,227,http://gryffindor.hogwarts.A40.com/php/home.php,1767,0,0
1729757421248,2341,HTTP Request-2,200,OK,Thread Group 1-27,text,true,,841,143,227,227,http://gryffindor.hogwarts.A40.com/php/login.php,2341,0,0
1729757415561,7867,HTTP Request,200,OK,Thread Group 1-73,text,true,,1592,549,227,227,http://gryffindor.hogwarts.A40.com/php/login.php,2924,0,1368
1729757415561,4197,HTTP Request-0,302,Found,Thread Group 1-73,text,true,,375,264,227,227,http://gryffindor.hogwarts.A40.com/php/login.php,2924,0,1368
1729757421399,177,HTTP Request-1,302,Found,Thread Group 1-73,text,true,,376,142,227,227,http://gryffindor.hogwarts.A40.com/php/home.php,177,0,0
1729757421577,1851,HTTP Request-2,200,OK,Thread Group 1-73,text,true,,841,143,227,227,http://gryffindor.hogwarts.A40.com/php/login.php,1851,0,0
1729757415579,8008,HTTP Request,200,OK,Thread Group 1-167,text,true,,1592,549,227,227,http://gryffindor.hogwarts.A40.com/php/login.php,3135,0,1163
